name,Operation Coverage (Suite)-value,Parameter coverage-value,Operation Coverage (Runtime Unique)-value_success,Operation Coverage (Runtime Unique)-value_failure,Operation Coverage (Runtime Unique)-value_invalid,Operation Coverage (Runtime Instance-wise)-value_success,Operation Coverage (Runtime Instance-wise)-value_failure,Operation Coverage (Runtime Instance-wise)-value_invalid,Output status code coverage-value,Number of TestOp Executions,Number of 2xx,Number of 4xx,Number of 5xx,Number of Sequences,Successful Sequences
gestao-hospitalar_resttestgen_metrics.json,100.0,77.1,20.0,5.0,95.0,1.2,0.4,98.3,48.9,905,11,890,4,905,11
languagetool_resttestgen_metrics.json,100.0,0.0,50.0,0.0,50.0,8.4,0.0,91.6,100.0,215,18,197,0,215,18
market_resttestgen_metrics.json,100.0,76.5,0.0,46.2,53.8,0.0,42.9,57.1,23.6,436,0,249,187,436,0
ncs_resttestgen_metrics.json,100.0,100.0,100.0,0.0,83.3,54.5,0.0,45.5,50.0,112,61,51,0,112,61
person-controller_resttestgen_metrics.json,100.0,50.0,50.0,75.0,0.0,11.2,88.8,0.0,30.0,215,24,0,191,215,24
petstore_resttestgen_metrics.json,100.0,56.0,55.0,0.0,75.0,5.7,0.0,94.3,87.9,2046,116,1930,0,2046,116
project_problem_controller_resttestgen_metrics.json,100.0,60.0,25.0,12.5,100.0,2.0,12.3,85.7,47.2,1032,21,884,127,1032,21
restcountries_resttestgen_metrics.json,100.0,100.0,50.0,4.5,81.8,5.7,0.2,94.1,186.4,614,35,578,1,614,35
restfulwebservices_resttestgen_metrics.json,100.0,71.9,0.0,0.0,100.0,0.0,0.0,100.0,23.7,1336,0,1336,0,1336,0
scs_resttestgen_metrics.json,100.0,100.0,100.0,0.0,18.2,98.2,0.0,1.8,36.4,219,215,4,0,219,215
user_management_resttestgen_metrics.json,100.0,350.0,8.7,87.0,13.0,1.1,93.3,5.6,27.7,980,11,55,914,980,11
xkcd_resttestgen_metrics.json,100.0,100.0,100.0,0.0,50.0,70.6,0.0,29.4,150.0,34,24,10,0,34,24
